Distance : 2171	D : 20.75	SSD: 0.25M	Speed: 0.35m/s	Angle: 87
Distance : 2167	D : 20.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 87
Distance : 2157	D : 20.89	SSD: 0.11M	Speed: 0.15m/s	Angle: 87
Distance : 2148	D : 20.91	SSD: 0.09M	Speed: 0.14m/s	Angle: 87
Distance : 2140	D : 20.91	SSD: 0.09M	Speed: 0.12m/s	Angle: 87
Distance : 2106	D : 20.64	SSD: 0.36M	Speed: 0.52m/s	Angle: 87
Distance : 2102	D : 20.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 87
Distance : 2088	D : 19.85	SSD: 0.15M	Speed: 0.21m/s	Angle: 87
Distance : 2086	D : 20.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 87
Distance : 2072	D : 19.85	SSD: 0.15M	Speed: 0.21m/s	Angle: 87
Distance : 2048	D : 19.74	SSD: 0.26M	Speed: 0.37m/s	Angle: 87
Distance : 2035	D : 19.86	SSD: 0.14M	Speed: 0.20m/s	Angle: 87
Distance : 2025	D : 19.89	SSD: 0.11M	Speed: 0.15m/s	Angle: 87
Distance : 2006	D : 19.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 87
Distance : 1990	D : 18.83	SSD: 0.17M	Speed: 0.24m/s	Angle: 87
Distance : 1975	D : 18.84	SSD: 0.16M	Speed: 0.23m/s	Angle: 87
Distance : 1957	D : 18.81	SSD: 0.19M	Speed: 0.27m/s	Angle: 87
Distance : 1943	D : 18.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 87
Distance : 1931	D : 18.87	SSD: 0.13M	Speed: 0.18m/s	Angle: 87
Distance : 1915	D : 18.83	SSD: 0.17M	Speed: 0.25m/s	Angle: 87
Distance : 1888	D : 17.71	SSD: 0.29M	Speed: 0.41m/s	Angle: 86
Distance : 1871	D : 17.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 86
Distance : 1855	D : 17.83	SSD: 0.17M	Speed: 0.24m/s	Angle: 86
Distance : 1838	D : 17.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 86
Distance : 1822	D : 17.83	SSD: 0.17M	Speed: 0.24m/s	Angle: 86
Distance : 1804	D : 17.81	SSD: 0.19M	Speed: 0.28m/s	Angle: 86
Distance : 1796	D : 16.92	SSD: 0.08M	Speed: 0.12m/s	Angle: 86
Distance : 1767	D : 16.69	SSD: 0.31M	Speed: 0.44m/s	Angle: 86
Distance : 1755	D : 16.87	SSD: 0.13M	Speed: 0.19m/s	Angle: 86
Distance : 1736	D : 16.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 86
Distance : 1717	D : 16.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 86
Distance : 1696	D : 15.78	SSD: 0.22M	Speed: 0.32m/s	Angle: 86
Distance : 1679	D : 15.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 86
Distance : 1663	D : 15.83	SSD: 0.17M	Speed: 0.24m/s	Angle: 86
Distance : 1645	D : 15.81	SSD: 0.19M	Speed: 0.28m/s	Angle: 86
Distance : 1628	D : 15.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 86
Distance : 1612	D : 15.83	SSD: 0.17M	Speed: 0.25m/s	Angle: 86
Distance : 1594	D : 14.81	SSD: 0.19M	Speed: 0.27m/s	Angle: 86
Distance : 1568	D : 14.72	SSD: 0.28M	Speed: 0.40m/s	Angle: 86
Distance : 1561	D : 14.93	SSD: 0.07M	Speed: 0.11m/s	Angle: 86
Distance : 1537	D : 14.75	SSD: 0.25M	Speed: 0.36m/s	Angle: 86
Distance : 1526	D : 14.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 86
Distance : 1502	D : 14.75	SSD: 0.25M	Speed: 0.36m/s	Angle: 86
Distance : 1482	D : 13.79	SSD: 0.21M	Speed: 0.31m/s	Angle: 85
Distance : 1471	D : 13.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 85
Distance : 1460	D : 13.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 85
Distance : 1441	D : 13.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 85
Distance : 1428	D : 13.86	SSD: 0.14M	Speed: 0.20m/s	Angle: 85
Distance : 1408	D : 13.79	SSD: 0.21M	Speed: 0.30m/s	Angle: 85
Distance : 1389	D : 12.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 85
Distance : 1375	D : 12.85	SSD: 0.15M	Speed: 0.21m/s	Angle: 85
Distance : 1358	D : 12.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 85
Distance : 1347	D : 12.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 85
Distance : 1321	D : 12.72	SSD: 0.28M	Speed: 0.40m/s	Angle: 85
Distance : 1313	D : 12.92	SSD: 0.08M	Speed: 0.12m/s	Angle: 85
Distance : 1295	D : 11.81	SSD: 0.19M	Speed: 0.27m/s	Angle: 85
Distance : 1277	D : 11.81	SSD: 0.19M	Speed: 0.28m/s	Angle: 85
Distance : 1262	D : 11.84	SSD: 0.16M	Speed: 0.23m/s	Angle: 85
Distance : 1246	D : 11.83	SSD: 0.17M	Speed: 0.25m/s	Angle: 85
Distance : 1237	D : 11.91	SSD: 0.09M	Speed: 0.14m/s	Angle: 85
Distance : 1218	D : 11.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 85
Distance : 1205	D : 11.86	SSD: 0.14M	Speed: 0.20m/s	Angle: 85
Distance : 1186	D : 10.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 84
Distance : 1166	D : 10.79	SSD: 0.21M	Speed: 0.30m/s	Angle: 84
Distance : 1152	D : 10.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 84
Distance : 1140	D : 10.87	SSD: 0.13M	Speed: 0.18m/s	Angle: 84
